name,address,review_count,category,rating,Latitude,Longitude,price,display_phone,zip_code,url,image_url
CVS Pharmacy,"1341 Boylston St, Boston, MA 02215",6,drugstores Drugstores convenience Convenience Stores pharmacy Pharmacy,1.7,42.34466114406294,-71.0995618732025,,(857) 317-5221,02215,https://www.yelp.com/biz/cvs-pharmacy-boston-66?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media4.fl.yelpcdn.com/bphoto/1q7ZKRy3-KjnZLzUqUveiw/o.jpg
CVS Pharmacy,"231 Massachusetts Ave, Boston, MA 02115",46,drugstores Drugstores pharmacy Pharmacy convenience Convenience Stores,2.3,42.344311,-71.086757,$,(617) 266-6775,02115,https://www.yelp.com/biz/cvs-pharmacy-boston-62?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/N4yud0Cas76nIToPxfODyQ/o.jpg
CVS Pharmacy,"350 Longwood Ave, Boston, MA 02115",17,drugstores Drugstores pharmacy Pharmacy convenience Convenience Stores,3.7,42.338628132107374,-71.1072339622408,$$,(617) 731-5753,02115,https://www.yelp.com/biz/cvs-pharmacy-boston-27?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/QcVR5dVP_F2aIlHEFYxDJQ/o.jpg
CVS Pharmacy,"300 Longwood Ave, Boston, MA 02115",8,drugstores Drugstores convenience Convenience Stores pharmacy Pharmacy,3.6,42.33737687153401,-71.105933,$$,(617) 975-3500,02115,https://www.yelp.com/biz/cvs-pharmacy-boston-20?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media1.fl.yelpcdn.com/bphoto/yOaUkDqF1n7xX2AKU2h3pg/o.jpg
Cvs/Pharmacy,"730 Commonwealth Ave, Brookline, MA 02446",13,drugstores Drugstores,2.1,42.34972,71.10687,$$,(617) 731-4556,02446,https://www.yelp.com/biz/cvs-pharmacy-brookline-13?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/rIxC1YuA3hFjdWEewxx4tA/o.jpg
CVS Pharmacy,"800 Boylston St, Boston, MA 02199",8,pharmacy Pharmacy drugstores Drugstores convenience Convenience Stores,2.6,42.34751,-71.08135,,(617) 880-1497,02199,https://www.yelp.com/biz/cvs-pharmacy-boston-77?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/4lxsRXtaGWM0bQ1wxsvdkQ/o.jpg
CVS Pharmacy,"240 Newbury St, Boston, MA 02116",30,drugstores Drugstores pharmacy Pharmacy convenience Convenience Stores,3.1,42.349506,-71.081843,$$,(617) 236-4007,02116,https://www.yelp.com/biz/cvs-pharmacy-boston-17?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media4.fl.yelpcdn.com/bphoto/VuNbhUHftk5ktNu50q8TmQ/o.jpg
CVS Pharmacy,"900 Commonwealth Ave, Boston, MA 02215",17,drugstores Drugstores pharmacy Pharmacy convenience Convenience Stores,2.5,42.350578,-71.116226,$$,(617) 232-2100,02215,https://www.yelp.com/biz/cvs-pharmacy-boston-61?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/XMte7ZzV0q84QYwYij0c9g/o.jpg
CVS Pharmacy,"587 Boylston St, Boston, MA 02116",54,drugstores Drugstores pharmacy Pharmacy convenience Convenience Stores,2.8,42.350517,-71.076915,$$,(617) 437-8414,02116,https://www.yelp.com/biz/cvs-pharmacy-boston-32?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/2JoVstS8TYXbc8XxFAu_gg/o.jpg
CVS Pharmacy,"285 Columbus Avenue, Boston, MA 02116",31,drugstores Drugstores pharmacy Pharmacy convenience Convenience Stores,4,42.34732,-71.0738,$,(617) 236-8538,02116,https://www.yelp.com/biz/cvs-pharmacy-boston-63?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/49ZWWzXYZWc0WFP2Cz1xQA/o.jpg
