name,address,review_count,category,rating,Latitude,Longitude,price,display_phone,zip_code,url,image_url
Eventide - Fenway,"1321 Boylston St, Boston, MA 02215",503,seafood Seafood,3.9,42.3443425,-71.0991662,$$,(617) 545-1060,02215,https://www.yelp.com/biz/eventide-fenway-boston-3?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/Ul5h6R-1SSzb66Ht9vjJ3g/o.jpg
SOJUba,"1265 Boylston St, Boston, MA 02215",545,korean Korean lounges Lounges chickenwings Chicken Wings,3.8,42.34528835941449,-71.0963626245369,$$,(617) 424-1260,02215,https://www.yelp.com/biz/sojuba-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media1.fl.yelpcdn.com/bphoto/aoVC1PIRBadHrcbPRq1XkQ/o.jpg
Rod Thai Family Taste,"94 Peterborough St, Boston, MA 02215",507,thai Thai,4,42.3430470265358,-71.099159,$$,(617) 859-0969,02215,https://www.yelp.com/biz/rod-thai-family-taste-boston-2?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/ulR0zaY6aJEMEGPPDXZQDw/o.jpg
The Greek Gyro,"88 Peterborough St, Boston, MA 02215",50,greek Greek mediterranean Mediterranean,4.6,42.34312,-71.098955,$$,(857) 991-1000,02215,https://www.yelp.com/biz/the-greek-gyro-boston-2?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/jEpFo4Jt746NyvayLD8cag/o.jpg
Citizen Public House & Oyster Bar,"1310 Boylston St, Boston, MA 02215",754,gastropubs Gastropubs whiskeybars Whiskey Bars seafood Seafood,3.7,42.3442,-71.09795,$$,(617) 450-9000,02215,https://www.yelp.com/biz/citizen-public-house-and-oyster-bar-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/ooS-Xuj4_qjOBrcLicdlJg/o.jpg
El Pelón Taquería,"92 Peterborough St, Boston, MA 02215",1215,mexican Mexican,4.1,42.3432217195996,-71.0989652411179,$,(617) 262-9090,02215,https://www.yelp.com/biz/el-pel%C3%B3n-taquer%C3%ADa-boston-3?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/4HUWsGZp29Q5r94KuV3Xlg/o.jpg
Tasty Burger,"86 Van Ness St, Boston, MA 02215",1311,burgers Burgers hotdog Hot Dogs hotdogs Fast Food,3.8,42.34466211834118,-71.09951200584561,$$,(617) 425-4444,02215,https://www.yelp.com/biz/tasty-burger-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/hRTFAdgj9bda6h66neoX0w/o.jpg
Sweet Cheeks Q,"1381 Boylston St, Boston, MA 02215",1773,southern Southern bars Bars bbq Barbeque,3.6,42.343898,-71.101103,$$,(617) 266-1300,02215,https://www.yelp.com/biz/sweet-cheeks-q-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/FYZbcrUvewP3U2NMESZOfA/o.jpg
Phinista,"96 Peterborough St, Boston, MA 02215",277,creperies Creperies breakfastbrunch Breakfast Brunch vietnamese Vietnamese,4.5,42.343036,-71.099219,$$,(617) 262-7700,02215,https://www.yelp.com/biz/phinista-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media4.fl.yelpcdn.com/bphoto/_291R0DzDXuZ4poFnX9csQ/o.jpg
Saloniki Greek,"4 Kilmarnock St, Boston, MA 02215",537,greek Greek mediterranean Mediterranean salad Salad,4.1,42.3448811203997,-71.100546,$$,(617) 266-0001,02215,https://www.yelp.com/biz/saloniki-greek-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media1.fl.yelpcdn.com/bphoto/WjqmZW8MgkOVUQmvnEyrCQ/o.jpg
Hojoko Boston,"1271 Boylston St, Boston, MA 02215",517,japanese Japanese cocktailbars Cocktail Bars,3.5,42.3451899451252,-71.0969520423279,$$,(617) 670-0507,02215,https://www.yelp.com/biz/hojoko-boston-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media1.fl.yelpcdn.com/bphoto/zg_fAYOi2hXfLOBBHIWmLA/o.jpg
