name,address,review_count,category,rating,Latitude,Longitude,price,display_phone,zip_code,url,image_url
Wow Tikka,"84 Peterborough St, Boston, MA 02215",89,indpak Indian,4.7,42.3431544,-71.09882569999999,,(857) 250-2062,02215,https://www.yelp.com/biz/wow-tikka-boston-2?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media1.fl.yelpcdn.com/bphoto/ASKHAgZcX6btQee9Su_rbw/o.jpg
Momo Masala,"2 Perkins Street, Boston, MA 02130",18,indpak Indian himalayan HimalayanNepalese,4.8,42.321775,-71.110396,$$,(617) 702-1033,02130,https://www.yelp.com/biz/momo-masala-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/sEPT29reuzv2wsZQdpvjyA/o.jpg
Masala Square Indian Kitchen,"23 Union Sq, Somerville, MA 02143",134,indpak Indian halal Halal cocktailbars Cocktail Bars,4.2,42.379838,-71.096815,$$,(617) 666-9770,02143,https://www.yelp.com/biz/masala-square-indian-kitchen-somerville-2?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/8W1NK8_ZfxPbZuDidt_PUQ/o.jpg
India Quality Restaurant,"484 Commonwealth Ave, Boston, MA 02215",897,indpak Indian,3.8,42.3485649735803,-71.0943808368296,$$,(617) 267-4499,02215,https://www.yelp.com/biz/india-quality-restaurant-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/juWQQVs94gAycob-za2Slw/o.jpg
Kantipur Cafe,"119 Hampshire St, Cambridge, MA 02139",162,indpak Indian himalayan HimalayanNepalese tradamerican American,4.6,42.369968,-71.096042,,(617) 714-3904,02139,https://www.yelp.com/biz/kantipur-cafe-cambridge-2?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media4.fl.yelpcdn.com/bphoto/H770Touelc49b5vqXl4vlA/o.jpg
Himalayan Kitchen,"40 Bow St, Somerville, MA 02143",358,indpak Indian himalayan HimalayanNepalese,4.7,42.381512,-71.097823,$$,(617) 623-9068,02143,https://www.yelp.com/biz/himalayan-kitchen-somerville-7?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/hWhS5X7APosqlH-8AXTFIg/o.jpg
Shanti Indian Cuisine,"1111 Dorchester Ave, Boston, MA 02125",482,indpak Indian bangladeshi Bangladeshi asianfusion Asian Fusion,4.1,42.312648788431154,-71.05743633224535,$$,(617) 929-3900,02125,https://www.yelp.com/biz/shanti-indian-cuisine-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/VaE5q09a4pouleN3XmSdWQ/o.jpg
Singh's Dhaba,"1001 Massachusetts Ave, Cambridge, MA 02138",61,indpak Indian,4.5,42.36959,-71.11131,,(617) 945-1525,02138,https://www.yelp.com/biz/singhs-dhaba-cambridge?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/u3Vp0Q-nO8k1wkFUR5B09w/o.jpg
The Maharaja,"57 Jfk St, Fl 2, Cambridge, MA 02138",669,indpak Indian,3.8,42.372144,-71.120865,$$,(617) 547-2757,02138,https://www.yelp.com/biz/the-maharaja-cambridge?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media4.fl.yelpcdn.com/bphoto/FdQv6mXCkNMqNnuL7_ikDA/o.jpg
Madras Dosa,"55 Boston Wharf Rd, Boston, MA 02210",128,indpak Indian,3.9,42.35117,-71.04535,$$,(857) 233-5188,02210,https://www.yelp.com/biz/madras-dosa-boston-3?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/7zmkZvMbWKn-GNVd1h-Ctw/o.jpg
Shan-A-Punjab,"500 Harvard St, Brookline, MA 02446",506,seafood Seafood indpak Indian buffets Buffets,3.8,42.3480295,-71.12951389570084,$$,(617) 734-9000,02446,https://www.yelp.com/biz/shan-a-punjab-brookline?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media4.fl.yelpcdn.com/bphoto/gZl9etdOOMDhvhl6teY2ew/o.jpg
Punjab Palace,"109 Brighton Ave, Allston, MA 02134",904,indpak Indian,4,42.352732,-71.130435,$$,(617) 254-1500,02134,https://www.yelp.com/biz/punjab-palace-allston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/Q03tiuW6y3Wj3OEnsQQs6g/o.jpg
Zomsa,"434 Massachusetts Ave, Arlington, MA 02474",23,himalayan HimalayanNepalese,4.8,42.414323276128535,-71.15112883265283,,(781) 230-8456,02474,https://www.yelp.com/biz/zomsa-arlington?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/9VlVXt6PWEplSu6IBHD4zA/o.jpg
Indian Kitchen,"450 Cambridge St, Allston, MA 02134",64,indpak Indian,4.2,42.353889,-71.135655,,(617) 254-1019,02134,https://www.yelp.com/biz/indian-kitchen-allston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/2WG0XRgXCypawEGxeKMaGg/o.jpg
Punjabi Dhaba,"225 Hampshire St, Cambridge, MA 02139",1018,indpak Indian,3.8,42.37388,-71.1008,$$,(617) 547-8272,02139,https://www.yelp.com/biz/punjabi-dhaba-cambridge?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/xtgaZnUg9Gy7LNGnbPVKYA/o.jpg
Sarva Indian Cuisine,"279 Newbury St, Boston, MA 02116",10,indpak Indian cafes Cafes,4.6,42.3494129448128,-71.08405905989646,,(617) 418-4995,02116,https://www.yelp.com/biz/sarva-indian-cuisine-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/sXxXLvoki27ffdhEHjI3lA/o.jpg
