name,address,review_count,category,rating,Latitude,Longitude,price,display_phone,zip_code,url,image_url
Seoul Soulongtang,"1245 Commonwealth Ave, Boston, MA 02134",652,korean Korean soup Soup,3.8,42.350251529608,-71.1318040723493,$$,(617) 505-6771,02134,https://www.yelp.com/biz/seoul-soulongtang-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/TU_oRmLxhEYOw2B32OGpQg/o.jpg
Seoul Jangteo,"151 Brighton Ave, Boston, MA 02134",191,korean Korean chinese Chinese noodles Noodles,3.8,42.35321,-71.13184,$$,(617) 254-2775,02134,https://www.yelp.com/biz/seoul-jangteo-boston-3?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/Qtbzl3R6Sl7aMJZCq2-1Dg/o.jpg
Baanga Korean Cuisine,"636 Beacon St, Boston, MA 02215",21,korean Korean,3.2,42.34958,-71.09524,,(617) 936-4252,02215,https://www.yelp.com/biz/baanga-korean-cuisine-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media1.fl.yelpcdn.com/bphoto/WOl5oJ0M5w120j3yv77ivg/o.jpg
Kaju Tofu House,"58 Harvard Ave, Allston, MA 02134",791,korean Korean,3.9,42.35446,-71.13226,$$,(617) 208-8540,02134,https://www.yelp.com/biz/kaju-tofu-house-allston-2?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/tXglGepW9wHfxSBbXrtimw/o.jpg
Seoul Topokki,"166 Harvard Ave, Boston, MA 02134",165,korean Korean,4,42.3515284,-71.1314382,$$,(617) 787-5656,02134,https://www.yelp.com/biz/seoul-topokki-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media1.fl.yelpcdn.com/bphoto/LJM5P1VLaFEVwQEZtAWLSQ/o.jpg
Coreanos Allston,"172 Brighton Ave, Allston, MA 02134",623,korean Korean asianfusion Asian Fusion mexican Mexican,4.3,42.3529789306659,-71.1330635,$$,(617) 208-8822,02134,https://www.yelp.com/biz/coreanos-allston-allston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/f0V6meSGqz_44qSw7kcmnw/o.jpg
BAB Korean Bistro,"1374 Beacon St, Brookline, MA 02446",240,korean Korean,3.9,42.34189,-71.1235,$$,(617) 383-5575,02446,https://www.yelp.com/biz/bab-korean-bistro-brookline-2?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/NisMdkXw5TS_Z-zXQLJ9dQ/o.jpg
Naksan BBQ,"1414 Commonwealth Ave, Boston, MA 02135",193,korean Korean bbq Barbeque,4,42.34854,-71.13904,$$$$,(617) 618-0515,02135,https://www.yelp.com/biz/naksan-bbq-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media4.fl.yelpcdn.com/bphoto/jhh7qUsQpgjEfAKgNYq8og/o.jpg
SOJUba,"1265 Boylston St, Boston, MA 02215",545,korean Korean lounges Lounges chickenwings Chicken Wings,3.8,42.34528835941449,-71.0963626245369,$$,(617) 424-1260,02215,https://www.yelp.com/biz/sojuba-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media1.fl.yelpcdn.com/bphoto/aoVC1PIRBadHrcbPRq1XkQ/o.jpg
Sharon Korean Kitchen,"1727 Centre St, Boston, MA 02132",74,korean Korean,4.6,42.28739,-71.1492,,(617) 477-4578,02132,https://www.yelp.com/biz/sharon-korean-kitchen-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/LcdDiVNGZ6fvoQV_DEWg6A/o.jpg
