name,address,review_count,category,rating,Latitude,Longitude,price,display_phone,zip_code,url,image_url
Lolita Cocina & Tequila Bar,"271 Dartmouth St, Boston, MA 02116",2583,mexican Mexican lounges Lounges cocktailbars Cocktail Bars,4,42.35069,-71.07736,$$,(617) 369-0931,02116,https://www.yelp.com/biz/lolita-cocina-and-tequila-bar-boston-4?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/tNXiny9PvaOD3q2kPD6mFg/o.jpg
Cósmica,"40 Berkeley St, Boston, MA 02116",161,mexican Mexican cocktailbars Cocktail Bars,3.8,42.34594,-71.07087,$$,(617) 313-7878,02116,https://www.yelp.com/biz/c%C3%B3smica-boston-3?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/H8UeMHaaomGilO2nzpxJ1w/o.jpg
Sabina Mezcaleria,"253 Newbury St, Boston, MA 02116",22,cocktailbars Cocktail Bars mexican Mexican tapas Tapas Bars,4.1,42.349707729422406,-71.0829487,,(857) 449-6023,02116,https://www.yelp.com/biz/sabina-mezcaleria-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/6Yqd1mtSGDUj8nEJZ0oghw/o.jpg
Maria's Taqueria,"226 Tremont St, Boston, MA 02116",380,mexican Mexican,4.1,42.35139,-71.06457,$,(617) 357-7399,02116,https://www.yelp.com/biz/marias-taqueria-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media1.fl.yelpcdn.com/bphoto/jGBGK1Z5-5KZChXGxGYeww/o.jpg
Mamacita Mexican Comida,"329 Huntington Ave, Boston, MA 02115",42,mexican Mexican,4.4,42.34093,-71.08819,,(857) 233-2508,02115,https://www.yelp.com/biz/mamacita-mexican-comida-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/x7PlD8GcpKj7qGjqq4bHNA/o.jpg
El Jefe's Taqueria,"80 Boylston St, Boston, MA 02116",125,tacos Tacos,4,42.35223,-71.06491,,(617) 936-3610,02116,https://www.yelp.com/biz/el-jefes-taqueria-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/8sFZE_pTwisXVnutxaO_gw/o.jpg
Bartaco,"100 Van Ness St, Ste 106, Boston, MA 02215",19,tacos Tacos cocktailbars Cocktail Bars,3.9,42.34472590356805,-71.1000983,,(617) 915-8226,02215,https://www.yelp.com/biz/bartaco-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/30HVPkWeYx9goKwMiqpjZQ/o.jpg
Sombrero Chiquito,"197 Mass Ave Boston 02115, Boston, MA 02115",56,mexican Mexican,4.5,42.345257,-71.087092,,(857) 265-3254,02115,https://www.yelp.com/biz/sombrero-chiquito-boston-2?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media4.fl.yelpcdn.com/bphoto/jnZs931sWErY69_7b2Mmww/o.jpg
El Pelón Taquería,"92 Peterborough St, Boston, MA 02215",1215,mexican Mexican,4.1,42.3432217195996,-71.0989652411179,$,(617) 262-9090,02215,https://www.yelp.com/biz/el-pel%C3%B3n-taquer%C3%ADa-boston-3?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/4HUWsGZp29Q5r94KuV3Xlg/o.jpg
Naco Taco on Newbury,"354 Newbury St, Boston, MA 02115",53,tacos Tacos foodtrucks Food Trucks,4.3,42.34808,-71.0874,$,(617) 945-1548,02115,https://www.yelp.com/biz/naco-taco-on-newbury-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media1.fl.yelpcdn.com/bphoto/nxdxVKVtLzkCiQHPp2HnMg/o.jpg
Loco Taqueria & Oyster Bar - Fenway,"61 Brookline Ave, Boston, MA 02215",58,salad Salad tacos Tacos cocktailbars Cocktail Bars,3.6,42.3472,-71.099,,(857) 277-0769,02215,https://www.yelp.com/biz/loco-taqueria-and-oyster-bar-fenway-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media3.fl.yelpcdn.com/bphoto/eUWQKRBA8m5kEbljcEKTEw/o.jpg
El Jefe’s Taqueria - Symphony,"269 Huntington Ave, Boston, MA 02115",64,mexican Mexican breakfastbrunch Breakfast Brunch,4,42.34211502185245,-71.08611364310457,$,(617) 936-3651,02115,https://www.yelp.com/biz/el-jefe-s-taqueria-symphony-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media2.fl.yelpcdn.com/bphoto/XgWRURiunjRig5fmbj_JnA/o.jpg
Gogo ya,"401 Park Dr, Time Out Market, Boston, MA 02215",43,japanese Japanese tacos Tacos,3.8,42.34396,-71.10319,$$,(978) 393-8088,02215,https://www.yelp.com/biz/gogo-ya-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,https://s3-media1.fl.yelpcdn.com/bphoto/gMwIBJdMPeCnAR5eOSguWQ/o.jpg
