id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,business_hours,attributes
0kNj4j1QB72Zcw3uYedkSg,eventide-fenway-boston-3,Eventide - Fenway,https://s3-media2.fl.yelpcdn.com/bphoto/Ul5h6R-1SSzb66Ht9vjJ3g/o.jpg,FALSE,https://www.yelp.com/biz/eventide-fenway-boston-3?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,503,"[{'alias': 'seafood', 'title': 'Seafood'}]",3.9,"{'latitude': 42.3443425, 'longitude': -71.0991662}","['delivery', 'pickup']",$$,"{'address1': '1321 Boylston St', 'address2': '', 'address3': None, 'city': 'Boston', 'zip_code': '02215', 'country': 'US', 'state': 'MA', 'display_address': ['1321 Boylston St', 'Boston, MA 02215']}",16175451060,(617) 545-1060,134.29377969567454,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'http://www.eventideoysterco.com/eventide-fenway#menus-fenway-section', 'open24_hours': None, 'waitlist_reservation': None}"
D3EMZKhkRqUQya20IGv7lg,rod-thai-family-taste-boston-2,Rod Thai Family Taste,https://s3-media2.fl.yelpcdn.com/bphoto/ulR0zaY6aJEMEGPPDXZQDw/o.jpg,FALSE,https://www.yelp.com/biz/rod-thai-family-taste-boston-2?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,507,"[{'alias': 'thai', 'title': 'Thai'}]",4,"{'latitude': 42.3430470265358, 'longitude': -71.099159}","['delivery', 'pickup']",$$,"{'address1': '94 Peterborough St', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02215', 'country': 'US', 'state': 'MA', 'display_address': ['94 Peterborough St', 'Boston, MA 02215']}",16178590969,(617) 859-0969,31.548538192576952,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'http://www.rodthaifenway.com/menu', 'open24_hours': None, 'waitlist_reservation': None}"
X9-3VbCgeQ9aqnDs5-rRZA,the-greek-gyro-boston-2,The Greek Gyro,https://s3-media3.fl.yelpcdn.com/bphoto/jEpFo4Jt746NyvayLD8cag/o.jpg,FALSE,https://www.yelp.com/biz/the-greek-gyro-boston-2?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,50,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.6,"{'latitude': 42.34312, 'longitude': -71.098955}","['delivery', 'pickup']",$$,"{'address1': '88 Peterborough St', 'address2': None, 'address3': '', 'city': 'Boston', 'zip_code': '02215', 'country': 'US', 'state': 'MA', 'display_address': ['88 Peterborough St', 'Boston, MA 02215']}",18579911000,(857) 991-1000,24.560332907593946,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}"
WESPiF4WcuAYb_r6N4SqgQ,citizen-public-house-and-oyster-bar-boston,Citizen Public House & Oyster Bar,https://s3-media2.fl.yelpcdn.com/bphoto/ooS-Xuj4_qjOBrcLicdlJg/o.jpg,FALSE,https://www.yelp.com/biz/citizen-public-house-and-oyster-bar-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,754,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'whiskeybars', 'title': 'Whiskey Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]",3.7,"{'latitude': 42.3442, 'longitude': -71.09795}","['delivery', 'pickup']",$$,"{'address1': '1310 Boylston St', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02215', 'country': 'US', 'state': 'MA', 'display_address': ['1310 Boylston St', 'Boston, MA 02215']}",16174509000,(617) 450-9000,131.73247414052733,"[{'open': [{'is_overnight': True, 'start': '1600', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '1600', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1600', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1600', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1600', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '1600', 'end': '0200', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","{'business_temp_closed': None, 'menu_url': 'https://www.citizenpub.com/menus/', 'open24_hours': None, 'waitlist_reservation': None}"
g2BZOLMwHViRf9hsQfKm_w,el-pelón-taquería-boston-3,El Pelón Taquería,https://s3-media2.fl.yelpcdn.com/bphoto/4HUWsGZp29Q5r94KuV3Xlg/o.jpg,FALSE,https://www.yelp.com/biz/el-pel%C3%B3n-taquer%C3%ADa-boston-3?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,1215,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.1,"{'latitude': 42.3432217195996, 'longitude': -71.0989652411179}","['delivery', 'pickup']",$,"{'address1': '92 Peterborough St', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02215', 'country': 'US', 'state': 'MA', 'display_address': ['92 Peterborough St', 'Boston, MA 02215']}",16172629090,(617) 262-9090,27.253433908736042,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://elpelon.com/regular-menu', 'open24_hours': None, 'waitlist_reservation': None}"
Hc9l2eLAGTB4lZJI3vRoPw,tasty-burger-boston,Tasty Burger,https://s3-media2.fl.yelpcdn.com/bphoto/hRTFAdgj9bda6h66neoX0w/o.jpg,FALSE,https://www.yelp.com/biz/tasty-burger-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,1311,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",3.8,"{'latitude': 42.34466211834118, 'longitude': -71.09951200584561}",['delivery'],$$,"{'address1': '86 Van Ness St', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02215', 'country': 'US', 'state': 'MA', 'display_address': ['86 Van Ness St', 'Boston, MA 02215']}",16174254444,(617) 425-4444,153.98564266904694,"[{'open': [{'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 0}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 1}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 5}, {'is_overnight': True, 'start': '1100', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://www.tastyburger.com/menus/', 'open24_hours': None, 'waitlist_reservation': None}"
7B9dJn1uWTv9QPnFcDwaXw,sweet-cheeks-q-boston,Sweet Cheeks Q,https://s3-media3.fl.yelpcdn.com/bphoto/FYZbcrUvewP3U2NMESZOfA/o.jpg,FALSE,https://www.yelp.com/biz/sweet-cheeks-q-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,1773,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'bbq', 'title': 'Barbeque'}]",3.6,"{'latitude': 42.343898, 'longitude': -71.101103}","['delivery', 'pickup']",$$,"{'address1': '1381 Boylston St', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02215', 'country': 'US', 'state': 'MA', 'display_address': ['1381 Boylston St', 'Boston, MA 02215']}",16172661300,(617) 266-1300,180.38388266760037,"[{'open': [{'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}"
u5l-xHRlgFkhCm37sUJ5eQ,phinista-boston,Phinista,https://s3-media4.fl.yelpcdn.com/bphoto/_291R0DzDXuZ4poFnX9csQ/o.jpg,FALSE,https://www.yelp.com/biz/phinista-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,277,"[{'alias': 'creperies', 'title': 'Creperies'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}]",4.5,"{'latitude': 42.343036, 'longitude': -71.099219}","['delivery', 'pickup']",$$,"{'address1': '96 Peterborough St', 'address2': '', 'address3': None, 'city': 'Boston', 'zip_code': '02215', 'country': 'US', 'state': 'MA', 'display_address': ['96 Peterborough St', 'Boston, MA 02215']}",16172627700,(617) 262-7700,34.37781186946917,"[{'open': [{'is_overnight': False, 'start': '0800', 'end': '1700', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '1700', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0930', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '0930', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'http://www.phinista.com/menu', 'open24_hours': None, 'waitlist_reservation': None}"
5pkmP0W8Fh-A3jnUJHOX-w,saloniki-greek-boston,Saloniki Greek,https://s3-media1.fl.yelpcdn.com/bphoto/WjqmZW8MgkOVUQmvnEyrCQ/o.jpg,FALSE,https://www.yelp.com/biz/saloniki-greek-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,537,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'salad', 'title': 'Salad'}]",4.1,"{'latitude': 42.3448811203997, 'longitude': -71.100546}","['delivery', 'pickup']",$$,"{'address1': '4 Kilmarnock St', 'address2': None, 'address3': '', 'city': 'Boston', 'zip_code': '02215', 'country': 'US', 'state': 'MA', 'display_address': ['4 Kilmarnock St', 'Boston, MA 02215']}",16172660001,(617) 266-0001,212.64072687498754,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': '', 'open24_hours': None, 'waitlist_reservation': None}"
DkhLETFI7Z49Kbsa6E1icA,hojoko-boston-boston,Hojoko Boston,https://s3-media1.fl.yelpcdn.com/bphoto/zg_fAYOi2hXfLOBBHIWmLA/o.jpg,FALSE,https://www.yelp.com/biz/hojoko-boston-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,517,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",3.5,"{'latitude': 42.3451899451252, 'longitude': -71.0969520423279}","['delivery', 'pickup']",$$,"{'address1': '1271 Boylston St', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02215', 'country': 'US', 'state': 'MA', 'display_address': ['1271 Boylston St', 'Boston, MA 02215']}",16176700507,(617) 670-0507,270.2790928405483,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'http://www.hojokoboston.com/menu', 'open24_hours': None, 'waitlist_reservation': None}"
