id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,business_hours,attributes
RC7s9vg0L3hL4LTZQhlpeg,seoul-soulongtang-boston,Seoul Soulongtang,https://s3-media3.fl.yelpcdn.com/bphoto/TU_oRmLxhEYOw2B32OGpQg/o.jpg,False,https://www.yelp.com/biz/seoul-soulongtang-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,652,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'soup', 'title': 'Soup'}]",3.8,"{'latitude': 42.350251529608, 'longitude': -71.1318040723493}","['delivery', 'pickup']",$$,"{'address1': '1245 Commonwealth Ave', 'address2': '', 'address3': '', 'city': 'Boston', 'zip_code': '02134', 'country': 'US', 'state': 'MA', 'display_address': ['1245 Commonwealth Ave', 'Boston, MA 02134']}",+16175056771,(617) 505-6771,2953.067923815013,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2130', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2130', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '2130', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '2130', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'http://www.seoulsoulongtang.com/index.html#menu', 'open24_hours': None, 'waitlist_reservation': None}"
EQwakJYQh75522pvMlSWPA,seoul-jangteo-boston-3,Seoul Jangteo,https://s3-media3.fl.yelpcdn.com/bphoto/Qtbzl3R6Sl7aMJZCq2-1Dg/o.jpg,False,https://www.yelp.com/biz/seoul-jangteo-boston-3?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,191,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}]",3.8,"{'latitude': 42.35321, 'longitude': -71.13184}","['delivery', 'pickup']",$$,"{'address1': '151 Brighton Ave', 'address2': None, 'address3': '', 'city': 'Boston', 'zip_code': '02134', 'country': 'US', 'state': 'MA', 'display_address': ['151 Brighton Ave', 'Boston, MA 02134']}",+16172542775,(617) 254-2775,3058.578854910946,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2130', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '2130', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}"
ojGLNA52v0qD33L_EoEK7A,baanga-korean-cuisine-boston,Baanga Korean Cuisine,https://s3-media1.fl.yelpcdn.com/bphoto/WOl5oJ0M5w120j3yv77ivg/o.jpg,False,https://www.yelp.com/biz/baanga-korean-cuisine-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,21,"[{'alias': 'korean', 'title': 'Korean'}]",3.2,"{'latitude': 42.34958, 'longitude': -71.09524}","['delivery', 'pickup']",,"{'address1': '636 Beacon St', 'address2': '', 'address3': None, 'city': 'Boston', 'zip_code': '02215', 'country': 'US', 'state': 'MA', 'display_address': ['636 Beacon St', 'Boston, MA 02215']}",+16179364252,(617) 936-4252,728.8596508090288,"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}"
6dB2_doBzgx3SGkgyMA96g,kaju-tofu-house-allston-2,Kaju Tofu House,https://s3-media3.fl.yelpcdn.com/bphoto/tXglGepW9wHfxSBbXrtimw/o.jpg,False,https://www.yelp.com/biz/kaju-tofu-house-allston-2?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,791,"[{'alias': 'korean', 'title': 'Korean'}]",3.9,"{'latitude': 42.35446, 'longitude': -71.13226}",['delivery'],$$,"{'address1': '58 Harvard Ave', 'address2': '', 'address3': '', 'city': 'Allston', 'zip_code': '02134', 'country': 'US', 'state': 'MA', 'display_address': ['58 Harvard Ave', 'Allston, MA 02134']}",+16172088540,(617) 208-8540,3136.34598822591,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}"
VrlJifUE36-U_OaiipGexA,seoul-topokki-boston,Seoul Topokki,https://s3-media1.fl.yelpcdn.com/bphoto/LJM5P1VLaFEVwQEZtAWLSQ/o.jpg,False,https://www.yelp.com/biz/seoul-topokki-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,165,"[{'alias': 'korean', 'title': 'Korean'}]",4.0,"{'latitude': 42.3515284, 'longitude': -71.1314382}","['delivery', 'pickup']",$$,"{'address1': '166 Harvard Ave', 'address2': '', 'address3': None, 'city': 'Boston', 'zip_code': '02134', 'country': 'US', 'state': 'MA', 'display_address': ['166 Harvard Ave', 'Boston, MA 02134']}",+16177875656,(617) 787-5656,2959.4427394182558,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': '', 'open24_hours': None, 'waitlist_reservation': None}"
XW3NB-c3pA0vsmsXAn2rkw,coreanos-allston-allston,Coreanos Allston,https://s3-media2.fl.yelpcdn.com/bphoto/f0V6meSGqz_44qSw7kcmnw/o.jpg,False,https://www.yelp.com/biz/coreanos-allston-allston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,623,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.3,"{'latitude': 42.3529789306659, 'longitude': -71.1330635}",['delivery'],$$,"{'address1': '172 Brighton Ave', 'address2': None, 'address3': '', 'city': 'Allston', 'zip_code': '02134', 'country': 'US', 'state': 'MA', 'display_address': ['172 Brighton Ave', 'Allston, MA 02134']}",+16172088822,(617) 208-8822,3144.5893466088996,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2130', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2230', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '2230', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://5260681c-6d00-4d50-b267-aaaea3645e59.filesusr.com/ugd/61ecd1_22efb94a212a452ca5b8870d1a54cf62.pdf', 'open24_hours': None, 'waitlist_reservation': None}"
ROKUGsp9ABxYpbH8v1PgQQ,bab-korean-bistro-brookline-2,BAB Korean Bistro,https://s3-media2.fl.yelpcdn.com/bphoto/NisMdkXw5TS_Z-zXQLJ9dQ/o.jpg,False,https://www.yelp.com/biz/bab-korean-bistro-brookline-2?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,240,"[{'alias': 'korean', 'title': 'Korean'}]",3.9,"{'latitude': 42.34189, 'longitude': -71.1235}","['delivery', 'pickup']",$$,"{'address1': '1374 Beacon St', 'address2': '', 'address3': None, 'city': 'Brookline', 'zip_code': '02446', 'country': 'US', 'state': 'MA', 'display_address': ['1374 Beacon St', 'Brookline, MA 02446']}",+16173835575,(617) 383-5575,2179.133623980281,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2230', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '2230', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","{'business_temp_closed': None, 'menu_url': 'https://babkoreanbistro.com/brookline-bab-korean-bistro-food-menu', 'open24_hours': None, 'waitlist_reservation': None}"
jtI6MymdMhcSg30cg4DNgg,naksan-bbq-boston,Naksan BBQ,https://s3-media4.fl.yelpcdn.com/bphoto/jhh7qUsQpgjEfAKgNYq8og/o.jpg,False,https://www.yelp.com/biz/naksan-bbq-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,193,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}]",4.0,"{'latitude': 42.34854, 'longitude': -71.13904}",[],$$$$,"{'address1': '1414 Commonwealth Ave', 'address2': '', 'address3': None, 'city': 'Boston', 'zip_code': '02135', 'country': 'US', 'state': 'MA', 'display_address': ['1414 Commonwealth Ave', 'Boston, MA 02135']}",+16176180515,(617) 618-0515,3497.598120337122,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","{'business_temp_closed': None, 'menu_url': 'https://naksanboston.com/menu/', 'open24_hours': None, 'waitlist_reservation': None}"
sqr1T-KLQ7ED49SlAEx49w,sojuba-boston,SOJUba,https://s3-media1.fl.yelpcdn.com/bphoto/aoVC1PIRBadHrcbPRq1XkQ/o.jpg,False,https://www.yelp.com/biz/sojuba-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,545,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",3.8,"{'latitude': 42.34528835941449, 'longitude': -71.0963626245369}","['delivery', 'pickup']",$$,"{'address1': '1265 Boylston St', 'address2': None, 'address3': '', 'city': 'Boston', 'zip_code': '02215', 'country': 'US', 'state': 'MA', 'display_address': ['1265 Boylston St', 'Boston, MA 02215']}",+16174241260,(617) 424-1260,242.38772764117488,"[{'open': [{'is_overnight': True, 'start': '1700', 'end': '0100', 'day': 0}, {'is_overnight': True, 'start': '1700', 'end': '0100', 'day': 1}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 2}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 3}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 4}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 5}, {'is_overnight': True, 'start': '1700', 'end': '0200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}"
E8s5QJNlr-Kl2_1Uc4UaeQ,sharon-korean-kitchen-boston,Sharon Korean Kitchen,https://s3-media3.fl.yelpcdn.com/bphoto/LcdDiVNGZ6fvoQV_DEWg6A/o.jpg,False,https://www.yelp.com/biz/sharon-korean-kitchen-boston?adjust_creative=LZkXjIasaeGxsBSkACtcwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=LZkXjIasaeGxsBSkACtcwQ,74,"[{'alias': 'korean', 'title': 'Korean'}]",4.6,"{'latitude': 42.28739, 'longitude': -71.1492}",[],,"{'address1': '1727 Centre St', 'address2': '', 'address3': None, 'city': 'Boston', 'zip_code': '02132', 'country': 'US', 'state': 'MA', 'display_address': ['1727 Centre St', 'Boston, MA 02132']}",+16174774578,(617) 477-4578,7543.775152084747,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]","{'business_temp_closed': None, 'menu_url': 'https://sharonkoreankitchen.com/#menu', 'open24_hours': None, 'waitlist_reservation': None}"
